author_id,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep,24-Oct
0,0.0035,0.007,0.001,0.1205,0.0005,0.154,0.001,0,0.0015,0,0.0005,0.0005,0.991,0.0005
1,0.0015,0.001,0.0065,0.005,0.003,0.0005,0.005,0.0205,0.0015,0.0005,0.007,0.0005,0.002,0.012
2,0.0025,0.2405,0.9985,0.003,0.0105,0.978,0.0005,0.0005,0.001,0.0095,0.002,0.0045,0.001,0.9945
3,0.9865,0.9955,0.0585,0.001,0.001,0.0115,0.003,0.004,0.0035,0.016,0.0815,0.002,0.008,0.0005
4,0.8085,0.001,0.008,0.001,0.001,0.001,0.002,0.004,0.0055,0.0005,0.045,0.003,0.003,0.0005
5,0.005,0.1175,0.005,0.001,0,0.978,0.05,0.009,0.0045,0.0085,0.9505,0.0015,0.0005,0.001
6,0.9995,0.0005,0.001,0.0005,0.0005,0.0045,0.0035,0.0655,0.99,0.001,0.001,0,0.9245,0.815
7,0.5,0.0035,0.0005,0,0.0045,0.0025,0.0015,0.002,0.995,0.0065,0,0.0075,0.9975,0.0275
8,0.994,0.023,0.001,0.0005,0.0005,0.0005,0.9245,0.0205,0.0975,0.852,0.892,0.005,0,0.0315
9,0.9925,0.0015,0.009,0.001,0.001,0.023,0.9995,0.0015,0.0065,0.0005,0.0055,0.001,0.006,0.0015
10,0.003,0.0095,0.007,0.012,0.041,0.001,0.001,0.001,0.001,0.987,0.0025,0.0055,0.003,0.0675
